新闻,#genre#
ARIRANG,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=arl
DW,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dw
TVBS,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbs
TVBS新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbsxw
TVB无线新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbwxxw
东森新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dsxw
东森财经新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dscjxw
非凡新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=ffxw
寰宇新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hyxw
民视新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=msxw
年代新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=ndxw
台视新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tsxw
中视新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=zsxw
中天新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=ztxw

香港,#genre#
TVB翡翠,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbfc
TVB明珠,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbmzt
凤凰香港,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=fhhk
TVB PLUS,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbj2
TVB星河,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbxh
TVB千禧经典,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbjd
TVB娱乐新闻,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbylxw
TVB亚洲剧,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbyz
VIUTV,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=viu1
VIUTV6,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=viu6

台湾,#genre#
AXN,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=axn
DAZN1,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dazn1
DAZN2,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dazn2
ELTA综合,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=elta
EYETV旅游,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=eyely
EYETV戏剧,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=eyexj
HBO HD,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hbohd
HBO Signature,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hbo
MTV Live,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=mtv
TLC,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tlc
TVBS欢乐,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=tvbshl
八大第一,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bddy
八大戏剧,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bdxj
八大娱乐,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bdyl
八大综合,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bdzh
博斯高球2,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bsgqt2
博斯网球,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bswqt
博斯无限,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bswxt
博斯运动1,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bsyd1
博斯运动2,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=bsyd2
大爱,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=da
东森电影,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dsdy
东森戏剧,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dsxj
东森洋片,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dsyp
东森呦呦,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=yytv
东森综合,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=dszh
公视台语,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=gsty
好莱坞,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hlwd
好消息2,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=good2
华视,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hs
华艺中文,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=hyzwt
靖天国际,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=jtgh
靖天卡通,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=jtkt
龙华经典,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=lhjd
龙华偶像,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=lhox
龙华戏剧,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=lhxj
龙祥时代,https://kaniptv.com/xz/xz_233775a2ba/wwkds.php?id=lxsd
